Time	CFP	YFP	
Seconds	mV	mV	
			
370	2818,57	3167,10
371	2884,09	3158,15
372	2854,58	3192,54
373	2680,83	3187,65
374	2708,91	3182,97
375	2817,55	3178,90
376	2743,70	3197,01
377	2646,24	3158,76
378	2769,74	3193,35
379	2719,28	3151,84
380	2794,56	3143,10
381	2773,40	3148,79
382	2679,00	3138,01
383	2671,37	3149,61
384	2711,75	3142,89
385	2670,04	3140,86
386	2766,28	3166,70
387	2710,74	3181,55
388	2761,60	3168,73
389	2770,55	3159,37
390	2732,30	3198,03
391	2668,82	3228,75
392	2734,54	3181,96
393	2770,15	3192,13
394	2722,74	3179,72
395	2703,62	3186,03
396	2751,63	3147,16
397	2790,49	3190,71
398	2773,40	3194,57
399	2728,23	3197,01
400	2690,80	3145,74
401	2715,62	3184,20
402	2716,64	3159,17
403	2733,93	3167,31
404	2692,63	3176,26
405	2687,75	3210,44
406	2700,77	3144,32
407	2721,32	3152,66
408	2713,18	3156,93
409	2698,12	3161,81
410	2686,93	3213,09
411	2746,75	3183,38
412	2744,31	3267,82
413	2744,92	3242,59
414	2708,50	3216,34
415	2709,52	3221,63
416	2725,59	3209,42
417	2695,48	3190,81
418	2702,19	3170,77
419	2763,23	3125,60
420	2693,85	3209,22
421	2694,46	3210,44
422	2695,07	3248,08
423	2735,46	3369,35
424	2823,66	3285,32
425	2771,98	3255,61
426	2700,97	3232,21
427	2753,67	3279,21
428	2740,85	3267,82
429	2684,49	3295,69
430	2604,22	3388,57
431	1810,21	4475,57
432	1418,95	4693,69
433	1409,59	4700,40
434	1440,72	4698,37
435	1336,34	4728,28
436	1401,05	4689,82
437	1499,11	4718,31
438	1437,26	4725,02
439	1378,26	4677,82
440	1373,37	4708,54
441	1486,30	4724,41
442	1448,05	4665,20
443	1406,34	4657,67
444	1493,01	4732,04
445	1473,89	4684,12
446	1479,79	4743,74
447	1456,39	4718,92
448	1441,94	4677,21
449	1440,11	4677,61
450	1392,91	4650,55
451	1439,09	4642,82
452	1451,30	4618,81
453	1478,57	4615,76
454	1399,62	4617,59
455	1453,34	4621,25
456	1481,01	4629,80
457	1497,89	4623,70
458	1501,96	4659,91
459	1449,67	4699,99
